"Priority
Rank",Field #,Field Name,Business Name,Business Definition,"Valid Values 
(Note:  The values provided are examples only and may not be a complete list of values)","Field
Type",Length,"Start 
Pos","End 
Pos","Digits if 
numeric","Decimals if 
numeric",NCPDP D.0 Field #,NCPDP D.0 Field Name,NCPDP D.0 Field Description
2,117,FDATHERAEQ,Food and Drug Administration (FDA) Therapeutic Equivalent Code,"The code that is assigned by the FDA and rates generic or therapeutically equivalent drugs on their effectiveness. “A” codes are considered generically bioequivalent. “B” codes are not generically bioequivalent. 

For some AB-rated products, a number is added to the end of the code (eg, AB1, AB2, etc).  This is assigned to multisource products that have same active ingredients, dosage form, route of administration (ROA), and strength as the reference brand, and a study has been submitted demonstrating the products'  bioequivalence.

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",See the Therapeutic Equiv. Codes tab.,A,2,986,987,0,0,,,
1,118,METRICSTRG,Drug Metric Strength,"The strength or amount of medicine in a dispensed product, such as 25 MG, 10000 ML, etc.

Note: When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",Example of value to display is '20' (of 20mg),N,11,988,998,11,3,,,
1,119,DRGSTRGUOM,Drug Strength - Unit of Measure (UOM),"The unit of measure for the dose / strength of the dispensed product.  

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",Example of value to display is 'mg' (of 20mg),A,10,999,1008,0,0,,,
1,120,ADMINROUTE,Drug Administration Route Code,"The 2-digit code that defines how the drug enters the body. There are several codes, such as OR=Oral, IJ=Injection, and EX=External. 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",See the Route of Admin tab.,A,2,1009,1010,0,0,,,
1,121,DOSAGEFORM,Drug Dosage Form Code,"The code that defines the form in which the drug product is dispensed. This code is defined by the carrier and can override Medi-Span's dosage designation. 

Examples of drug forms include AERO=aerosol, INHA=Inhaler, and SOLN=Solution.  

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",See the Dosage Form tab.,A,4,1011,1014,0,0,,,
1,122,MNTDRUGCDE,Maintenance Drug Code,"The code that indicates whether the drug product is a maintenance drug or not.  A maintenance drug is prescribed to treat a chronic condition (i.e., diabetes, arthritis, high blood pressure, or heart conditions). These drugs are usually administered continuously rather than intermittently. This code is either defined by Medi-Span or by the carrier. 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ","Blank = Non-Maintenance Drug
X = Maintenance Drug",A,1,1015,1015,0,0,,,
4,123,THRDPARTYX,Drug Third Party Exception Code,"The Third Party Exception code that was included on the Product File Item detail record for the drug.  Medi-Span assigns Third Party Exception codes to products that typically are not covered by third party administrators. Some examples of Third Party Exception codes are cosmetic alterations drugs, smoking deterrents, oral contraceptives, and anti-anxiety agents.

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",See the Third Party Exception Codes tab.,A,1,1016,1016,0,0,,,
3,124,DRGUNITDOS,Drug Unit Dose/Unit of Use Code,"The code that indicates whether the product is packaged as a unit dose (single dose) or a unit of use. 

Unit dose packaging is intended for administration as a single-dose at a time and is packaged by the number of units used for each dose taken at one time. This applies to products such as injectables. 

Unit-of-use packaging includes a standard quantity for a specific therapy, such as oral contraceptives, where the member uses all the tablets in the package without the pharmacist removing portions from it. 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ","Blank
X = Unit-Dose/Single Dose
U = Unit-of-Use",A,1,1017,1017,0,0,,,
4,125,SBMUNITDOS,Unit Dose Code - Submitted,"The code that indicates the type of unit dose used for the submitted claim.

","0 = Not Specified
1 = Not Unit Dose
2 = Manufacturer Unit Dose
3 = Pharmacy Unit Dose
4 = Pharmacy Unit Dose Patient Compliance Packaging
5 = Pharmacy Multi-drug Patient Compliance Packaging
6 = Remote Device Unit Dose
7 = Remote Device Multi-drug Compliance
8 = Manufacturer Unit of Use Package (not unit dose)",A,1,1018,1018,0,0,429-DT,Special Packaging Indicator,Code indicating the type of dispensing dose.
5,126,ALTPRODTYP,Submitted Alternate Product Type,Field is not currently used. ,,A,1,1019,1019,0,0,,,
5,127,ALTPRODCDE,Submitted Alternate Product Code,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,13,1020,1032,0,0,,,
4,128,SRXNETWRK,Super Pharmacy Network ID,The identifier assigned to the group of networks (super network) for the selected pharmacy.,Prime-derived value,A,6,1033,1038,0,0,,,
5,129,SRXNETTYPE,Super Pharmacy Network Type,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,2,1039,1040,0,0,,,
3,130,RXNETWORK,Pharmacy Network ID,"The identifier of the pharmacy network (chain) tied to the selected pharmacy.  A pharmacy network is a group of pharmacies that have been properly credentialed as a participating pharmacy and have entered into an agreement with Prime to provide covered prescription drug services to members. Example:  Walgreens, CVS, etc.

The pharmacy network is used for pricing purposes during claim processing. ","This field displays the Network ID as loaded in claims processing system. 

Note:  For all claims, if the Network ID =  ******, then the claim is processed as an out-of-network claim.  ",A,6,1041,1046,0,0,,,
3,131,RXNETWRKNM,Pharmacy Network Name,"The name of the pharmacy network (chain) tied to the selected pharmacy. A pharmacy network is a group of pharmacies that have been properly credentialed as a participating pharmacy and have entered into an agreement with Prime to provide covered prescription drug services to members.  Example: Walgreens, CVS, etc. Value is derived from the NCPDP Pharmacy File.

The pharmacy network is used for pricing purposes during  claim processing. ",,A,25,1047,1071,0,0,,,
3,132,RXNETCARR,Pharmacy Network Carrier ID,"The identifier of the carrier that owns the pharmacy network, if this applies.  This field only contains a value if the carrier is the 'owner' of the network.  The field is related to the SCARRIERID field (#6).

Note:  *DEFAULT carriers are not specific, so all clients have access to the networks with that carrier.",Prime does not use this functionality.,A,9,1072,1080,0,0,,,
4,133,REGIONCDE,Pharmacy Network Region Code,"The geographic location where the selected pharmacy network resides.  Region codes are used for pricing - different contracted rates for different geographic regions.

Usually, a region is a state, but sometimes it is a combination of states. Regions are typically used for reporting purposes. Value is normally derived from the NCPDP Pharmacy File.",,A,10,1081,1090,0,0,,,
2,134,PHRAFFIL,Pharmacy Chain Code ,"The code that indicates the chain to which the pharmacy is affiliated.  This is an industry standard number.  This field displays the same code as the AFFILIATIN field (#147) and PAYEEID field (#148). Value is derived from the NCPDP Pharmacy File.
",,A,10,1091,1100,0,0,,,
3,135,NETPRIOR,Pharmacy Network Priority Code,"The code that indicates whether a primary or secondary network was used during claim processing.  This is used for clients with more than one network. 

Example:  A client may have an in-house pharmacy that would serve as a primary network.  Other pharmacies would be considered in a secondary network. ","Valid Values are:
Blank = not specified
1 = Primary
2 = Secondary",A,3,1101,1103,0,0,,,
4,136,NETTYPE,Pharmacy Network Type,The code that indicates the type of pharmacy network associated with the claim.,"AF = Affiliate
Blank = Not specified
NT = Network
NL = Network List
PO = Payee Override",A,2,1104,1105,0,0,,,
5,137,NETSEQ,Pharmacy Network Sequence,Field is not currently used. ,Contains only zeroes. ,N,5,1106,1110,5,0,,,
5,138,PAYCNTR,Pharmacy Payment Center,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,10,1111,1120,0,0,,,
4,139,PHRNDCLST,Pharmacy Network List Used - National Drug Code (NDC),The National Drug Code list that Prime associated to the pharmacy network used during claim processing. ,Prime-derived value,A,10,1121,1130,0,0,,,
4,140,PHRGPILST,Pharmacy Network List Used - Generic Product Indicator (GPI),The Generic Product Indicator list that Prime associated to the pharmacy network used during claim processing. ,Prime-derived value,A,10,1131,1140,0,0,,,
4,141,SRVPROVID,Service Provider ID - Validated,"The pharmacy's provider identification number as validated against the NCPDP Pharmacy file. NCPDP stands for National Council for Prescription Drug Programs. 

Note: This field may contain either the National Provider Identifier (NPI) or the NCPDP ID number of the pharmacy.
",,A,15,1141,1155,0,0,201-B1,Service Provider ID,ID assigned to a pharmacy or provider.
3,142,SRVPROVIDQ,Service Provider ID Qualifier - Validated,"The two-digit qualifier that indicates the type of pharmacy provider ID that was validated against the NCPDP Pharmacy file, e.g., NPI, NCPDP, etc.  NCPDP stands for National Council for Prescription Drug Programs. 

Note:  The code displayed in this field indicates the type of value that displays in the SRVPROVID field (#141). ","*BLANK - Not Specified 
01 - National Provider Identifier (NPI) 
02 - Blue Cross 
03 - Blue Shield 
04 - Medicare 
05 - Medicaid 
06 - UPIN 
07 - NCPDP Provider ID (previously known as NABP)
08 - State License 
09 - TRICARE
10 - Health Industry Number 
11 - Federal Tax ID 
12 - Drug Enforcement Admin 
13 - State Issued 
14 - Plan Specific
15 - HCIdea
16 - Combat Methamphetamine Epidemic Act (CMEA)
17 - Foreign Prescriber Identifier
99 - Other",A,2,1156,1157,0,0,202-B2,Service Provider ID Qualifier,Code qualifying the ‘Service Provider ID’ (2Ø1-B1).
5,143,Filler,Filler,Field is not currently used. ,,A,25,1158,1182,0,0,,,
5,144,PROVLOCKQL,Provider Lock Qualifier,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,1,1183,1183,0,0,,,
5,145,PROVLOCKID,Provider Lock Identifier,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,15,1184,1198,0,0,,,
4,146,STORENBR,Pharmacy Store Number,The identifier of the pharmacy (store) within the pharmacy chain that dispensed the drug. Value is derived from the NCPDP Pharmacy File.,,A,15,1199,1213,0,0,,,
3,147,AFFILIATIN,Pharmacy Relationship Code ,"The code that indicates the chain to which the pharmacy is affiliated.  This is an industry standard number.  This field displays the same code as the PHRAFFIL field (#134). Value is derived from the NCPDP Pharmacy File.
",,A,6,1214,1219,0,0,,,
4,148,PAYEEID,Pharmacy Payee ID,"The identifier of the agency that receives payment on behalf of the selected pharmacy. Some pharmacies are their own payee. Others direct payments toward their affiliation office or another special financial office.

This field indicates who will be paid, prior to payment and  billing processing. Payment & Billing can override this ID. Value is normally derived from the NCPDP Pharmacy File.",,A,12,1220,1231,0,0,,,
4,149,DISPRCLASS,Dispenser Class Code,The code that indicates the class of entity that dispensed the drug. ,See the Dispenser Class tab.,A,3,1232,1234,0,0,,,
1,150,DISPROTHER,Dispenser Type Code,"The code that further describes the type of pharmacy that dispensed the drug, e.g., Community/Retail, Long term care pharmacy, etc. 

",See the Dispenser Type tab.,A,3,1235,1237,0,0,,,
2,151,PHARMZIP,Pharmacy Zip Code,"The pharmacy's zip code.
Value is derived from the NCPDP Pharmacy File.",,A,10,1238,1247,0,0,,,
5,152,PRESNETWID,MD Network Identifier,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,6,1248,1253,0,0,,,
2,153,PRESCRIBER,Prescriber ID - Submitted,"The identification number assigned to the medical provider who wrote the prescription for the claim.  Usually, this is the National Provider Identifier  (NPI). This data must be submitted on the claim by the adjudicating pharmacy.",,A,15,1254,1268,0,0,411-DB,Prescriber ID,ID assigned to the prescriber.
2,154,PRESCRIDQL,Prescriber ID Qualifier - Submitted ,"The two-digit qualifier that indicates the type of medical provider ID that was submitted on the claim, e.g., DEA, NPI, NCPDP, etc. 

Note:  The code displayed in this field indicates the type of value that displays in the PRESCRIBER field (#153). ","*BLANK - Not Specified 
01 - National Provider Identifier (NPI) 
02 - Blue Cross 
03 - Blue Shield 
04 - Medicare 
05 - Medicaid 
06 - UPIN 
07 - NCPDP Provider ID (no longer valid)
08 - State License 
09 - TRICARE
10 - Health Industry Number 
11 - Federal Tax ID 
12 - Drug Enforcement Admin 
13 - State Issued 
14 - Plan Specific
15 - HCIdea
16 - Combat Methamphetamine Epidemic Act (CMEA)
17 - Foreign Prescriber Identifier
99 - Other",A,2,1269,1270,0,0,466-EZ,Prescriber ID Qualifier,Code qualifying the ‘Prescriber ID’ (411-DB).
2,155,PRESLSTNME,Prescriber Last Name,The last name of the medical provider who wrote the prescription for the claim.  This field displays the name if the prescriber ID matches Prime's prescriber file. ,,A,25,1271,1295,0,0,,,
2,156,PRESFSTNME,Prescriber First Name,The first name of the medical provider who wrote the prescription for the claim.   This field displays the name if the prescriber ID matches Prime's prescriber file.,,A,15,1296,1310,0,0,,,
4,157,PRESMDINIT,Prescriber Middle Initial,The middle Initial of the medical provider who wrote the prescription for the claim.  This field displays the middle initial if the prescriber ID matches Prime's prescriber file.,,A,1,1311,1311,0,0,,,
2,158,PRESSPCCDE,Prescriber Specialty Code,"The field of medicine in which the medical provider who wrote the prescription for the claim has specialized (e.g., urology, pediatrics, psychiatry, gynecology, geriatrics). 

This field displays the specialty code if the prescriber ID matches Prime's prescriber file.",See the Doctor Specialty tab.,A,6,1312,1317,0,0,,,
1,159,FNLPLANCDE,Final Benefit Plan Code,"The identifier assigned to the benefit plan that was used to process the claim.

Note: This may differ from the GROUPPLAN and/or MBRPLAN code. ",,A,10,1318,1327,0,0,,,
3,160,FNLPLANDTE,Final Benefit Plan Effective Date,The start date of the benefit plan that was used to process the claim.,"Format CYYMMDD; 0 represents 1900's,  1 represents 2000's",N,7,1328,1334,7,0,,,
3,161,PLANQUAL,Benefit Plan Qualifier,A code that further describes the attributes of the benefit plan.  This information may be used for reference or reporting purposes. It does not affect claim processing. Assigned per benefit build.,,A,10,1335,1344,0,0,,,
3,162,PLNNDCLIST,Benefit Plan National Drug Code (NDC) List Name,The benefit plan's National Drug Code list that was used to process the claim.  This value displays only if this list was used in the claims processing. Assigned per benefit build.,,A,10,1345,1354,0,0,,,
3,163,PLNGPILIST,Benefit Plan Generic Product Indicator (GPI) List Name,The benefit plan's Generic Product Indicator list that was used to process the claim. This value displays only if this list was used in the claims processing. Assigned per benefit build.,,A,10,1355,1364,0,0,,,
3,164,PLNPNDCLST,Benefit Plan Preferred Drug List - National Drug Code (NDC),"The benefit plan's list of preferred drugs, grouped by National Drug Code (NDC).  The term ""preferred"" does not necessarily equate to a formulary.  Assigned per benefit build.",,A,10,1365,1374,0,0,,,
3,165,PLNPGPILST,Benefit Plan Preferred Drug List - Generic Product Indicator (GPI),"The benefit plan's list of preferred drugs, grouped by Generic Product Indicator (GPI). The term ""preferred"" does not necessarily equate to a formulary.  Assigned per benefit build.",,A,10,1375,1384,0,0,,,
1,166,PLANDRUGST,Benefit Plan Drug Status Code,The code that defines how the claim was processed.  Detailed information explaining each code is included in the Appendix - Plan Drug Status Cds. ,See the Plan Drug Status tab.,A,1,1385,1385,0,0,,,
5,167,PLANFRMLRY,Plan Formulary,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,1,1386,1386,0,0,,,
4,168,PLNFNLPSCH,Benefit Plan Final Price Schedule,The benefit plan's price schedule that was used to process the claim.  A price schedule contains all the rules that determine the dollar amount that the pharmacy is paid. ,Values are Prime-defined and used in Prime's claim processing system. ,A,10,1387,1396,0,0,,,
3,169,FORMULARY,Formulary Protocol Flag,"The code that indicates whether the pharmaceutical product is on the preferred Generic Product Indicator (GPI) list or preferred National Drug Code (NDC) list.  This code is based on the drug status and generic indicator.  

This field is populated when Preferred Formulary edit is enabled. 
","Blank = Pharmaceutical product is not on the preferred GPI or NDC list. 
Y = Pharmaceutical product is on either the preferred GPI or NDC list.

The following is true whether the drug is in the preferred NDC/GPI list or not: 
•  The flag is set to 'Y' if the drug status is 'F', '5', '6'.  
•  The flag is also set to 'Y' if the drug status is Y' and the drug's generic indicator is 'Y'.
•  The flag is set to blank if the drug status is 'C', 'G', '9'.  
•  The flag is set to blank if drug status is 'Y' or 'Z', but the drug's generic indicator is not 'Y'.

For drug statuses that were not mentioned above, the flag is set to 'Y' only when the drug was found in the preferred formulary list. The drug status that is being compared is the drug status value at the time claim was being processed using edit 26.",A,1,1397,1397,0,0,,,
1,170,FORMLRFLAG,Formulary Flag,The code that indicates whether the prescribed drug is on the plan's formulary or not.,"N = Drug is not on formulary
Y = Drug is on formulary",A,1,1398,1398,0,0,,,
2,171,CONTHERAPY,Contingent Therapy Code,"The code that indicates whether the benefit plan used for claim processing has contingent therapy rules. Contingent therapy rules can be set up on a Plan Generic Product Indicator list, a Plan National Drug Code list or on a prior authorization.

Contingent therapy is a set of criteria that restricts or limits the use of a pharmaceutical product. Example:  A member must be within a specified age range to receive a lower copay for a pharmaceutical product.  The most common reason to use contingent therapy is for Utilization Management programs. ","* BLANK = None
N = None (Display value)
L = GPI Plan List
P = GPI Prior Authorization
D = NDC Plan List
C = Prior Authorization",A,1,1399,1399,0,0,,,
3,172,MESSAGE1,Pharmacy Claim Message 1,The first free-form text message that was sent to the pharmacy for this claim. Message may be passed back for all claim statuses.,,A,40,1400,1439,0,0,504-F4,Message,Free form message.
3,173,MESSAGE2,Pharmacy Claim Message 2,The second free-form text message that was sent to the pharmacy for this claim. Message may be passed back for all claim statuses.,,A,40,1440,1479,0,0,504-F4,Message,Free form message.
3,174,MESSAGE3,Pharmacy Claim Message 3,The third free-form text message that was sent to the pharmacy for this claim. Message may be passed back for all claim statuses.,,A,40,1480,1519,0,0,504-F4,Message,Free form message.
3,175,REJCNT,Pharmacy Claim Reject Code Count,The total number of reject codes for this claim.  This field only displays a value if rejected claims are included on the MCEF.,,S,2,1520,1521,2,0,510-FA,Reject Count,Count of ‘Reject Code’ (511-FB) occurrences.
3,176,REJCDE1,"Pharmacy Claim Reject Code 1
","The NCPDP code identifying the reason for rejecting the claim (e.g., refill too soon). This field only displays a value if rejected claims are included on the MCEF.",See the Reject Codes tab. ,A,3,1522,1524,0,0,511-FB,Reject Code,Code indicating the error encountered.
3,177,REJCDE2,Pharmacy Claim Reject Code 2,"The NCPDP code identifying the reason for rejecting the claim (e.g., refill too soon).  This field only displays a value if rejected claims are included on the MCEF,  and if the claim has more than one reject code. ",See the Reject Codes tab. ,A,3,1525,1527,0,0,511-FB,Reject Code,Code indicating the error encountered.
3,178,REJCDE3,Pharmacy Claim Reject Code 3,"The NCPDP code identifying the reason for rejecting the claim (e.g., refill too soon).  This field only displays a value if rejected claims are included on the MCEF, and if the claim has more than two reject codes. ",See the Reject Codes tab. ,A,3,1528,1530,0,0,511-FB,Reject Code,Code indicating the error encountered.
4,179,RJCPLANID,Benefit Plan Identifier - Rejected Pharmacy Claim,The identifier of the benefit plan for the rejected claim. This field only displays a value if rejected claims are included on the MCEF. ,,A,8,1531,1538,0,0,,,
2,180,DURCONFLCT,Drug Utilization Review (DUR) Conflict Code - Submitted,"The reason code for the Drug Utilization Review (DUR) conflict, if a conflict is detected for the claim.  This is the code that the pharmacy has sent to Prime in an attempt to resolve the conflict.  An example of a conflict includes drug-to-drug interaction (DD).  ",See the Submitted Reason for Service tab.,A,2,1539,1540,0,0,439-E4,Reason For Service Code,Code identifying the type of utilization conflict detected or the reason for the pharmacist’s professional service.
3,181,DURINTERVN,Drug Utilization Review (DUR)  Professional Service Code (Intervention Code) - Submitted,The code that indicates the steps the pharmacist took to  receive more information about the Drug Utilization Review (DUR) conflict detected on the claim.,See the Professional Service Codes tab. ,A,2,1541,1542,0,0,,,
3,182,DUROUTCOME,Drug Utilization Review (DUR) Result of Service Code (Outcome Code) - Submitted,"The code that indicates the result of the pharmacist intervention, as part of a Drug Utilization Review (DUR) conflict detected on the claim.",See the Result of Service tab,A,2,1543,1544,0,0,441-E6,Result of Service Code,Action taken by a pharmacist in response to a conflict or the result of a pharmacist’s professional service.
3,183,LVLSERVICE,Drug Utilization Review (DUR)  Level of Service - Submitted ,"An optional field that indicates the level of effort that the pharmacy put into resolving the Drug Utilization Review (DUR) conflict. This data is submitted by the pharmacy. 

This field is typically not used. However, it may be used to indicate a level of service that charges a different dispensing fee based on the level.","00 = Not specified
01 = Patient Consultation
02 = Home Delivery
03 = Emergency
04 = 24 Hour Service
05 = Generic Product Selection 
11 = Level 1 (LOWEST)
12 = Level 2
13 = Level 3
14 = Level 4
15 = Level 5 (highest)
(16-20 reserved for future use)",A,2,1545,1546,0,0,418-DI,Level Of Service,Coding indicating the type of service the provider rendered.
3,184,DIAGNOSIS,Diagnosis Code - Submitted,"The diagnosis code assigned to the claim. If the field is blank, the diagnosis code is not available or not specified. Newly added functionality to require diagnosis on specific medications.",,A,15,1547,1561,0,0,424-DO,Diagnosis Code,Code identifying the diagnosis of the patient.
3,185,DIAGNOSISQ,Diagnosis Code Qualifier - Submitted,"The two-digit qualifier that indicates the type of diagnosis code that was submitted on the claim.
","00 = Not specified
01 = International Classification of Diseases (ICD-9)
02 = International Classification of Diseases-10-Clinical Modifications (ICD-10-CM)
03 = National Criteria Care Institute (NCCI)
04 = The Systematized Nomenclature of Medicine Clinical Terms® (SNOMED)
05 = Common Dental Terminology (CDT)
06 = Not used
07 = American Psychiatric Association Diagnostic Statistical Manual of Mental Disorders (DSM IV)",A,2,1562,1563,0,0,492-WE,Diagnosis Code Qualifier,Code qualifying the ‘Diagnosis Code’ (424-DO).
3,186,RVDURCNFLC,Reversal Drug Utilization Review (DUR) Conflict Code,"The reason code for the Drug Utilization Review (DUR) conflict, if a conflict is detected for the reversed claim.  This is the code that the pharmacy has sent to Prime in an attempt to resolve the conflict.
",See the Submitted Reason for Service tab.,A,2,1564,1565,0,0,439-E4,Reason For Service Code,Code identifying the type of utilization conflict detected or the reason for the pharmacist’s professional service.
3,187,RVDURINTRV,Reversal Submitted Professional Service Code (Intervention Code) - Drug Utilization Review (DUR),The code that indicates the action that was taken by the pharmacist to receive more information about the conflict as part of the Drug Utilization Review (DUR) conflict detected on the reversed claim.,See the Professional Service Codes tab. ,A,2,1566,1567,0,0,440-E5,Professional Service Code,Code identifying pharmacist intervention when a conflict code has been identified or service has been rendered.
3,188,RVDUROUTCM,Reversal Drug Utilization Review (DUR) Result of Service Code (Outcome Code),"The code that indicates the result of the intervention that was taken by the pharmacist, as a result of a Drug Utilization Review (DUR) conflict detected on the reversed claim.",See the Result of Service tab,A,2,1568,1569,0,0,441-E6,Result of Service Code,Action taken by a pharmacist in response to a conflict or the result of a pharmacist’s professional service.
3,189,RVLVLSERVC,Reversal Level of Service Code - Drug Utilization Review (DUR),"An optional field that indicates the level of effort that the pharmacy put into resolving the Drug Utilization Review (DUR) conflict for the reversed claim. This data is submitted by the pharmacy. 

This field is typically not used. However, it may be used to indicate a level of service that charges a different dispensing fee based on the level.","00 = Not Specified
01 = Patient Consultation
02 = Home Delivery
03 = emergency
04 = 24 hour service
05 = Generic Product Selection
11 = Level 1 (lowest)
12 = Level 2
13 = Level 3
14 = Level 4
15 = Level 5 (highest)",A,2,1570,1571,0,0,418-DI,Level Of Service,Coding indicating the type of service the provider rendered.
3,190,DRGCNFLCT1,Drug Conflict Code 1 - Drug Utilization Review (DUR),The first reason for the Drug Utilization Review (DUR) conflict that is associated to the claim and used for DUR reporting. This reason is sent to the pharmacy.,See the Submitted Reason for Service tab.,A,2,1572,1573,0,0,439-E4,Reason For Service Code,Code identifying the type of utilization conflict detected or the reason for the pharmacist’s professional service.
3,191,SEVERITY1,Severity Index Code 1- Drug Utilization Review (DUR),"The code that indicates how critical a specific Drug Utilization Review (DUR) conflict is. This significance code is assigned by the originating database (Medi-Span). 

","0 = Not Specified
1 = Major: Interactions are either well-documented and have the potential of being harmful to the member or have a low incidence of occurrence, but have the potential of serious adverse outcomes (i.e., life-threatening). 
2 = Moderate: Interactions are less likely than major interactions to cause harm to the member or are not documented as well as major interactions.
3 = Minor: Interactions may occur, but are the least significant because documentation is poor or conflicting. These interactions are also those that pose a limited or unclear risk to the member.",A,1,1574,1574,0,0,528-FS,Clinical Significance Code,Code identifying the significance or severity level of a clinical event as contained in the originating database.
3,192,OTHRPHARM1,Other Pharmacy Code 1 - Drug Utilization Review (DUR),"The code that indicates the location where the previous prescription was filled.  If this field contains a value, then the previous pharmacy is related to the Drug Utilization Review (DUR) conflict with the current claim. ","Blank
0 = No value; Not specified
1 = Your pharmacy
2 = Other pharmacy in same chain
3 = Other pharmacy",A,1,1575,1575,0,0,529-FT,Other Pharmacy Indicator,Code indicating the pharmacy responsible for the previous event involved in the DUR conflict.
3,193,DTEPRVFIL1,Date of Previous Fill 1 - Drug Utilization Review (DUR),"The last date that this prescription was dispensed .  If this field contains a value, then the previous fill is related to the Drug Utilization Review (DUR) conflict with the current claim. ",,N,8,1576,1583,8,0,530-FU,Previous Date of Fill,Date prescription was previously filled.
3,194,QTYPRVFIL1,Quantity of Previous Fill 1 - Drug Utilization Review (DUR),"The quantity of the last fill of this prescription.  If this field contains a value, then the previous fill quantity is related to the  Drug Utilization Review (DUR) conflict with the current claim. ",,N,11,1584,1594,11,3,531-FV,Quantity Of Previous Fill,Amount expressed in metric decimal units of the conflicting agent that was previously filled.
4,195,DATABASE1,Database Code 1 - Drug Utilization Review (DUR),"The code that indentifies the source of the data associated with the Drug Utilization Review (DUR). 

","2 =  Medi-Span
4 =  Processor Developed  

",A,1,1595,1595,0,0,532-FW,Database Indicator,Code identifying the source of drug information used for DUR processing or to define the database used for identifying the product.
3,196,OTHRPRESC1,Other Prescriber Code 1 - Drug Utilization Review (DUR),"The code that compares the medical provider who wrote the current prescription with the medical provider who wrote the previous prescription.  If this field contains a value, then the prescriber is related to the Drug Utilization Review (DUR) conflict with the current claim. 

Note:  These fields help prevent prescription abuse. ","Blank
0 = No value
1 = Same prescriber
2 = Different prescriber",A,1,1596,1596,0,0,533-FX,Other Prescriber Indicator,Code comparing the prescriber of the current prescription to the prescriber of the previously filled conflicting prescription.
3,197,FREETEXT1,Free Text Message 1 - Drug Utilization Review (DUR),Free-form message related to this claim's Drug Utilization Review (DUR) conflict. This information is sent from Prime to the pharmacy.,,A,30,1597,1626,0,0,544-FY,DUR Free Text Message,Text that provides additional detail regarding a DUR conflict.
3,198,DRGCNFLCT2,Drug Conflict Code 2 - Drug Utilization Review (DUR),The second reason for the Drug Utilization Review (DUR) conflict that is associated to the claim and used for DUR reporting. This reason is sent back to the pharmacy.,See the Submitted Reason for Service tab.,A,2,1627,1628,0,0,439-E4,Reason For Service Code,Code identifying the type of utilization conflict detected or the reason for the pharmacist’s professional service.
3,199,SEVERITY2,Severity Index Code 2- Drug Utilization Review (DUR),"The code that indicates how critical a specific Drug Utilization  Review (DUR) conflict is. This significance code is assigned by the originating database (Medi-Span). 

","0 = Not Specified
1 = Major: Interactions are either well-documented and have the potential of being harmful to the member or have a low incidence of occurrence, but have the potential of serious adverse outcomes (i.e., life-threatening). 
2 = Moderate: Interactions are less likely than major interactions to cause harm to the member or are not documented as well as major interactions.
3 = Minor: Interactions may occur, but are the least significant because documentation is poor or conflicting. These interactions are also those that pose a limited or unclear risk to the member.",A,1,1629,1629,0,0,528-FS,Clinical Significance Code,Code identifying the significance or severity level of a clinical event as contained in the originating database.
3,200,OTHRPHARM2,Other Pharmacy Code 2 - Drug Utilization Review (DUR),"The code that indicates the location where the previous prescription was filled.  If this field contains a value, then the two pharmacies are related to the Drug Utilization Review (DUR) conflict with the current prescription. ","Blank
0 = No value; Not specified
1 = Your pharmacy
2 = Other pharmacy in same chain
3 = Other pharmacy",A,1,1630,1630,0,0,529-FT,Other Pharmacy Indicator,Code indicating the pharmacy responsible for the previous event involved in the DUR conflict.
3,201,DTEPRVFIL2,Date of Previous Fill 2 - Drug Utilization Review (DUR),"The last date that this prescription was dispensed. If this field contains a value, then the two fill dates are related to the Drug Utilization Review (DUR) conflict with the current prescription.",Format = CCYYMMDD,N,8,1631,1638,8,0,530-FU,Previous Date of Fill,Date prescription was previously filled.
3,202,QTYPRVFIL2,Quantity of Previous Fill 2 - Drug Utilization Review (DUR),"The quantity of the last fill of this prescription.  If this field contains a value, then the two quantities are related to the Drug Utilization Review (DUR) conflict with the current prescription. ",,N,11,1639,1649,11,3,531-FV,Quantity Of Previous Fill,Amount expressed in metric decimal units of the conflicting agent that was previously filled.
